rental_id,booking_reference,customer_id,motorcycle_id,branch_pickup_id,branch_return_id,channel_id,payment_method_id,promo_id,booking_date_key,pickup_date_key,return_date_key,rental_days,daily_rate,subtotal,discount_amount,tax_amount,total_amount,deposit_amount,deposit_status,damage_fee,traffic_fines,status,created_at
1,RB000001,2,2,2,3,2,2,,20250609,20250611,20250613,2,65,130,0.0,27.3,157.3,300.0,released,0.0,0.0,completed,2025-09-30 12:00:00
2,RB000002,3,3,3,4,3,3,,20250609,20250612,20250615,3,70,210,0.0,44.1,254.1,300.0,released,0.0,0.0,completed,2025-09-29 12:00:00
3,RB000003,4,4,4,5,4,4,,20250609,20250613,20250617,4,75,300,0.0,63.0,363.0,300.0,released,0.0,0.0,completed,2025-09-28 12:00:00
4,RB000004,5,5,5,1,5,1,,20250609,20250614,20250619,5,80,400,0.0,84.0,484.0,300.0,released,0.0,0.0,completed,2025-09-27 12:00:00
5,RB000005,6,6,1,2,1,2,,20250609,20250615,20250621,6,55,330,0.0,69.3,399.3,300.0,released,0.0,0.0,completed,2025-09-26 12:00:00
6,RB000006,7,7,2,3,2,3,,20250609,20250616,20250623,7,60,420,0.0,88.2,508.2,300.0,released,0.0,0.0,completed,2025-09-25 12:00:00
7,RB000007,8,8,3,4,3,4,2.0,20250609,20250617,20250625,8,65,520,25.0,103.95,598.95,300.0,released,0.0,0.0,completed,2025-09-24 12:00:00
8,RB000008,9,9,4,5,4,1,,20250609,20250618,20250627,9,70,630,0.0,132.3,762.3,300.0,released,0.0,0.0,completed,2025-09-23 12:00:00
9,RB000009,10,10,5,1,5,2,,20250609,20250619,20250629,10,75,750,0.0,157.5,907.5,300.0,released,0.0,0.0,completed,2025-09-22 12:00:00
10,RB000010,11,11,1,2,1,3,,20250609,20250620,20250701,11,80,880,0.0,184.8,1064.8,300.0,released,0.0,0.0,completed,2025-09-21 12:00:00
11,RB000011,12,12,2,3,2,4,,20250609,20250621,20250703,12,55,660,0.0,138.6,798.6,300.0,held,0.0,0.0,active,2025-09-20 12:00:00
12,RB000012,13,13,3,4,3,1,,20250609,20250622,20250705,13,92,1196,0.0,251.16,1447.16,500.0,released,0.0,0.0,completed,2025-09-19 12:00:00
13,RB000013,14,14,4,5,4,2,,20250609,20250623,20250707,14,99,1386,0.0,291.06,1677.06,500.0,released,0.0,0.0,completed,2025-09-18 12:00:00
14,RB000014,15,15,5,1,5,3,3.0,20250623,20250624,20250625,1,106,106,15.9,18.92,109.02,500.0,released,0.0,0.0,completed,2025-09-17 12:00:00
15,RB000015,16,16,1,2,1,4,,20250623,20250625,20250627,2,113,226,0.0,47.46,273.46,500.0,released,0.0,0.0,completed,2025-09-16 12:00:00
16,RB000016,17,17,2,3,2,1,,20250623,20250626,20250629,3,120,360,0.0,75.6,435.6,500.0,released,0.0,0.0,completed,2025-09-15 12:00:00
17,RB000017,18,18,3,4,3,2,,20250623,20250627,20250701,4,85,340,0.0,71.4,411.4,500.0,partially_used,115.0,0.0,completed,2025-09-14 12:00:00
18,RB000018,19,19,4,5,4,3,,20250623,20250628,20250703,5,92,460,0.0,96.6,556.6,500.0,released,0.0,0.0,completed,2025-09-13 12:00:00
19,RB000019,20,20,5,1,5,4,,20250623,20250629,20250705,6,99,594,0.0,124.74,718.74,500.0,released,0.0,0.0,completed,2025-09-12 12:00:00
20,RB000020,21,1,1,2,1,1,,20250623,20250630,20250707,7,60,420,0.0,88.2,508.2,300.0,held,0.0,0.0,cancelled,2025-09-11 12:00:00
21,RB000021,22,2,2,3,2,2,1.0,20250623,20250701,20250709,8,65,520,52.0,98.28,566.28,300.0,released,0.0,0.0,completed,2025-09-10 12:00:00
22,RB000022,23,3,3,4,3,3,,20250623,20250702,20250711,9,70,630,0.0,132.3,762.3,300.0,held,0.0,0.0,active,2025-09-09 12:00:00
23,RB000023,24,4,4,5,4,4,,20250623,20250703,20250713,10,75,750,0.0,157.5,907.5,300.0,released,0.0,0.0,completed,2025-09-08 12:00:00
24,RB000024,25,5,5,1,5,1,,20250623,20250704,20250715,11,80,880,0.0,184.8,1064.8,300.0,released,0.0,0.0,completed,2025-09-07 12:00:00
25,RB000025,26,6,1,2,1,2,,20250623,20250705,20250717,12,55,660,0.0,138.6,798.6,300.0,released,0.0,0.0,completed,2025-09-06 12:00:00
26,RB000026,27,7,2,3,2,3,,20250623,20250706,20250719,13,60,780,0.0,163.8,943.8,300.0,released,0.0,0.0,completed,2025-09-05 12:00:00
27,RB000027,28,8,3,4,3,4,,20250623,20250707,20250721,14,65,910,0.0,191.1,1101.1,300.0,released,0.0,0.0,completed,2025-09-04 12:00:00
28,RB000028,29,9,4,5,4,1,2.0,20250707,20250708,20250709,1,70,70,21.0,10.29,59.29,300.0,released,0.0,0.0,completed,2025-09-03 12:00:00
29,RB000029,30,10,5,1,5,2,,20250707,20250709,20250711,2,75,150,0.0,31.5,181.5,300.0,partially_used,0.0,90.0,completed,2025-09-02 12:00:00
30,RB000030,31,11,1,2,1,3,,20250707,20250710,20250713,3,80,240,0.0,50.4,290.4,300.0,released,0.0,0.0,completed,2025-09-01 12:00:00
31,RB000031,32,12,2,3,2,4,,20250707,20250711,20250715,4,55,220,0.0,46.2,266.2,300.0,released,0.0,0.0,completed,2025-08-31 12:00:00
32,RB000032,33,13,3,4,3,1,,20250707,20250712,20250717,5,92,460,0.0,96.6,556.6,500.0,released,0.0,0.0,completed,2025-08-30 12:00:00
33,RB000033,34,14,4,5,4,2,,20250707,20250713,20250719,6,99,594,0.0,124.74,718.74,500.0,held,0.0,0.0,no_show,2025-08-29 12:00:00
34,RB000034,35,15,5,1,5,3,,20250707,20250714,20250721,7,106,742,0.0,155.82,897.82,500.0,partially_used,80.0,0.0,completed,2025-08-28 12:00:00
35,RB000035,36,16,1,2,1,4,3.0,20250707,20250715,20250723,8,113,904,135.6,161.36,929.76,500.0,released,0.0,0.0,completed,2025-08-27 12:00:00
36,RB000036,37,17,2,3,2,1,,20250707,20250716,20250725,9,120,1080,0.0,226.8,1306.8,500.0,released,0.0,0.0,completed,2025-08-26 12:00:00
37,RB000037,38,18,3,4,3,2,,20250707,20250717,20250727,10,85,850,0.0,178.5,1028.5,500.0,released,0.0,0.0,completed,2025-08-25 12:00:00
38,RB000038,39,19,4,5,4,3,,20250707,20250718,20250729,11,92,1012,0.0,212.52,1224.52,500.0,released,0.0,0.0,completed,2025-08-24 12:00:00
39,RB000039,40,20,5,1,5,4,,20250707,20250719,20250731,12,99,1188,0.0,249.48,1437.48,500.0,released,0.0,0.0,completed,2025-08-23 12:00:00
40,RB000040,41,1,1,2,1,1,,20250707,20250720,20250802,13,60,780,0.0,163.8,943.8,300.0,held,0.0,0.0,cancelled,2025-08-22 12:00:00
41,RB000041,42,2,2,3,2,2,,20250707,20250721,20250804,14,65,910,0.0,191.1,1101.1,300.0,released,0.0,0.0,completed,2025-08-21 12:00:00
42,RB000042,43,3,3,4,3,3,1.0,20250721,20250722,20250723,1,70,70,7.0,13.23,76.23,300.0,released,0.0,0.0,completed,2025-08-20 12:00:00
43,RB000043,44,4,4,5,4,4,,20250721,20250723,20250725,2,75,150,0.0,31.5,181.5,300.0,released,0.0,0.0,completed,2025-08-19 12:00:00
44,RB000044,45,5,5,1,5,1,,20250721,20250724,20250727,3,80,240,0.0,50.4,290.4,300.0,held,0.0,0.0,active,2025-08-18 12:00:00
45,RB000045,46,6,1,2,1,2,,20250721,20250725,20250729,4,55,220,0.0,46.2,266.2,300.0,released,0.0,0.0,completed,2025-08-17 12:00:00
46,RB000046,47,7,2,3,2,3,,20250721,20250726,20250731,5,60,300,0.0,63.0,363.0,300.0,released,0.0,0.0,completed,2025-08-16 12:00:00
47,RB000047,48,8,3,4,3,4,,20250721,20250727,20250802,6,65,390,0.0,81.9,471.9,300.0,released,0.0,0.0,completed,2025-08-15 12:00:00
48,RB000048,49,9,4,5,4,1,,20250721,20250728,20250804,7,70,490,0.0,102.9,592.9,300.0,released,0.0,0.0,completed,2025-08-14 12:00:00
49,RB000049,50,10,5,1,5,2,2.0,20250721,20250729,20250806,8,75,600,25.0,120.75,695.75,300.0,released,0.0,0.0,completed,2025-08-13 12:00:00
50,RB000050,1,11,1,2,1,3,,20250721,20250730,20250808,9,80,720,0.0,151.2,871.2,300.0,released,0.0,0.0,completed,2025-08-12 12:00:00
51,RB000051,2,12,2,3,2,4,,20250721,20250731,20250810,10,55,550,0.0,115.5,665.5,300.0,partially_used,45.0,0.0,completed,2025-08-11 12:00:00
52,RB000052,3,13,3,4,3,1,,20250721,20250801,20250812,11,92,1012,0.0,212.52,1224.52,500.0,released,0.0,0.0,completed,2025-08-10 12:00:00
53,RB000053,4,14,4,5,4,2,,20250721,20250802,20250814,12,99,1188,0.0,249.48,1437.48,500.0,released,0.0,0.0,completed,2025-08-09 12:00:00
54,RB000054,5,15,5,1,5,3,,20250721,20250803,20250816,13,106,1378,0.0,289.38,1667.38,500.0,released,0.0,0.0,completed,2025-08-08 12:00:00
55,RB000055,6,16,1,2,1,4,,20250721,20250804,20250818,14,113,1582,0.0,332.22,1914.22,500.0,held,0.0,0.0,active,2025-08-07 12:00:00
56,RB000056,7,17,2,3,2,1,3.0,20250804,20250805,20250806,1,120,120,18.0,21.42,123.42,500.0,released,0.0,0.0,completed,2025-08-06 12:00:00
57,RB000057,8,18,3,4,3,2,,20250804,20250806,20250808,2,85,170,0.0,35.7,205.7,500.0,released,0.0,0.0,completed,2025-08-05 12:00:00
58,RB000058,9,19,4,5,4,3,,20250804,20250807,20250810,3,92,276,0.0,57.96,333.96,500.0,partially_used,0.0,90.0,completed,2025-08-04 12:00:00
59,RB000059,10,20,5,1,5,4,,20250804,20250808,20250812,4,99,396,0.0,83.16,479.16,500.0,released,0.0,0.0,completed,2025-08-03 12:00:00
60,RB000060,11,1,1,2,1,1,,20250804,20250809,20250814,5,60,300,0.0,63.0,363.0,300.0,held,0.0,0.0,cancelled,2025-08-02 12:00:00
61,RB000061,12,2,2,3,2,2,,20250804,20250810,20250816,6,65,390,0.0,81.9,471.9,300.0,released,0.0,0.0,completed,2025-08-01 12:00:00
62,RB000062,13,3,3,4,3,3,,20250804,20250811,20250818,7,70,490,0.0,102.9,592.9,300.0,released,0.0,0.0,completed,2025-07-31 12:00:00
63,RB000063,14,4,4,5,4,4,1.0,20250804,20250812,20250820,8,75,600,60.0,113.4,653.4,300.0,released,0.0,0.0,completed,2025-07-30 12:00:00
64,RB000064,15,5,5,1,5,1,,20250804,20250813,20250822,9,80,720,0.0,151.2,871.2,300.0,released,0.0,0.0,completed,2025-07-29 12:00:00
65,RB000065,16,6,1,2,1,2,,20250804,20250814,20250824,10,55,550,0.0,115.5,665.5,300.0,released,0.0,0.0,completed,2025-07-28 12:00:00
66,RB000066,17,7,2,3,2,3,,20250804,20250815,20250826,11,60,660,0.0,138.6,798.6,300.0,held,0.0,0.0,no_show,2025-07-27 12:00:00
67,RB000067,18,8,3,4,3,4,,20250804,20250816,20250828,12,65,780,0.0,163.8,943.8,300.0,released,0.0,0.0,completed,2025-07-26 12:00:00
68,RB000068,19,9,4,5,4,1,,20250804,20250817,20250830,13,70,910,0.0,191.1,1101.1,300.0,partially_used,115.0,0.0,completed,2025-07-25 12:00:00
69,RB000069,20,10,5,1,5,2,,20250804,20250818,20250901,14,75,1050,0.0,220.5,1270.5,300.0,released,0.0,0.0,completed,2025-07-24 12:00:00
70,RB000070,21,11,1,2,1,3,2.0,20250818,20250819,20250820,1,80,80,24.0,11.76,67.76,300.0,released,0.0,0.0,completed,2025-07-23 12:00:00
71,RB000071,22,12,2,3,2,4,,20250818,20250820,20250822,2,55,110,0.0,23.1,133.1,300.0,released,0.0,0.0,completed,2025-07-22 12:00:00
72,RB000072,23,13,3,4,3,1,,20250818,20250821,20250824,3,92,276,0.0,57.96,333.96,500.0,released,0.0,0.0,completed,2025-07-21 12:00:00
